tract10,tract20,share
06059088106,06059088106,0.99535098
06059088106,06059099801,0.00433018
06059088106,06059099904,0.00031884
06059088107,06059088107,1.00000000
06059088201,06059088201,1.00000000
06059088202,06059088202,1.00000000
06059088203,06059088203,1.00000000
06059088301,06059088301,1.00000000
06059088302,06059088302,1.00000000
06059088401,06059088401,1.00000000
06059088402,06059088402,1.00000000
06059088403,06059088403,1.00000000
06059088501,06059088501,1.00000000
06059088502,06059088502,1.00000000
06059088601,06059088601,1.00000000
06059088602,06059088602,1.00000000
06059088701,06059088701,1.00000000
06059088702,06059088702,1.00000000
06059088801,06059088801,0.99914616
06059088801,06059099801,0.00085384
06059088802,06059088801,0.00962506
06059088802,06059088802,0.98299739
06059088802,06059099801,0.00737755
06059088901,06059088901,1.00000000
06059088902,06059088902,1.00000000
06059088903,06059088903,1.00000000
06059088904,06059088904,1.00000000
06059088905,06059088905,1.00000000
06059089001,06059089001,1.00000000
06059089003,06059089003,1.00000000
06059089004,06059089004,1.00000000
06059089102,06059089102,1.00000000
06059089104,06059089104,0.97538163
06059089104,06059089105,0.02461837
06059089105,06059089105,1.00000000
06059089106,06059089106,1.00000000
06059089107,06059089107,1.00000000
06059099202,06059099202,0.99986513
06059099202,06059099227,0.00013487
06059099203,06059099203,1.00000000
06059099204,06059099204,1.00000000
06059099212,06059099212,1.00000000
06059099214,06059099214,1.00000000
06059099215,06059099215,1.00000000
06059099216,06059099216,1.00000000
06059099217,06059099217,1.00000000
06059099220,06059099220,0.99975152
06059099220,06059099239,0.00024848
06059099222,06059099222,1.00000000
06059099223,06059099223,1.00000000
06059099224,06059099222,0.00932752
06059099224,06059099224,0.97068097
06059099224,06059099241,0.01898321
06059099224,06059099242,0.00100830
06059099225,06059099225,1.00000000
06059099226,06059099202,0.00124763
06059099226,06059099226,0.99875237
06059099227,06059099202,0.00084295
06059099227,06059099227,0.99915705
06059099229,06059099229,1.00000000
06059099230,06059099230,1.00000000
06059099231,06059099214,0.00003401
06059099231,06059099231,0.99996599
06059099232,06059099232,1.00000000
06059099233,06059099233,1.00000000
06059099234,06059099234,1.00000000
06059099235,06059099212,0.00121616
06059099235,06059099235,0.99878384
06059099237,06059099237,0.99821935
06059099237,06059099244,0.00178065
06059099238,06059099238,1.00000000
06059099239,06059099239,1.00000000
06059099240,06059099240,1.00000000
06059099241,06059099241,0.99323525
06059099241,06059099242,0.00374911
06059099241,06059099410,0.00301564
06059099242,06059099241,0.01203953
06059099242,06059099242,0.98796047
06059099243,06059099243,1.00000000
06059099244,06059099244,1.00000000
06059099245,06059099245,1.00000000
06059099246,06059099246,1.00000000
06059099247,06059099247,1.00000000
06059099248,06059099248,1.00000000
06059099249,06059099249,1.00000000
06059099250,06059099250,1.00000000
06059099251,06059099251,1.00000000
06059099305,06059099305,1.00000000
06059099306,06059099305,0.00240913
06059099306,06059099306,0.99759087
06059099307,06059099307,1.00000000
06059099308,06059099308,1.00000000
06059099309,06059099309,1.00000000
06059099310,06059099310,1.00000000
06059099311,06059099311,1.00000000
06059099402,06059099402,1.00000000
06059099404,06059099404,1.00000000
06059099405,06059099404,0.00103747
06059099405,06059099405,0.99896253
06059099406,06059099406,1.00000000
06059099407,06059099407,1.00000000
06059099408,06059099408,1.00000000
06059099410,06059099410,1.00000000
06059099411,06059099411,1.00000000
06059099412,06059099412,1.00000000
06059099413,06059099402,0.00003752
06059099413,06059099418,0.54169938
06059099413,06059099419,0.45826309
06059099415,06059099415,1.00000000
06059099416,06059099416,1.00000000
06059099417,06059099417,1.00000000
06059099502,06059099502,0.58904050
06059099502,06059099506,0.01096143
06059099502,06059099508,0.06951773
06059099502,06059099509,0.03742067
06059099502,06059099513,0.00397727
06059099502,06059099514,0.07486287
06059099502,06059099603,0.04252487
06059099502,06059099906,0.12274836
06059099502,06059110008,0.00546761
06059099502,06059110012,0.04347869
06059099504,06059099504,1.00000000
06059099506,06059099506,1.00000000
06059099508,06059099508,1.00000000
06059099509,06059099509,1.00000000
06059099510,06059099510,1.00000000
06059099511,06059099511,1.00000000
06059099512,06059099512,1.00000000
06059099513,06059099506,0.01726652
06059099513,06059099513,0.98273348
06059099514,06059099514,1.00000000
06059099601,06059099601,1.00000000
06059099602,06059099602,1.00000000
06059099603,06059099508,0.00011101
06059099603,06059099603,0.99988899
06059099604,06059099604,1.00000000
06059099605,06059099601,0.00321604
06059099605,06059099605,0.99678396
06059099701,06059099701,0.99993100
06059099701,06059099702,0.00006900
06059099702,06059099702,1.00000000
06059099703,06059099241,0.00333659
06059099703,06059099703,0.99666341
06059099801,06059099801,1.00000000
06059099802,06059099802,1.00000000
06059099803,06059099803,1.00000000
06059099902,06059099902,0.99107817
06059099902,06059110004,0.00892183
06059099903,06059099903,0.97477909
06059099903,06059110004,0.02522091
06059099904,06059099904,1.00000000
06059099905,06059099905,0.93067163
06059099905,06059110004,0.04268382
06059099905,06059110005,0.02664455
06059099906,06059099906,0.99756372
06059099906,06059110005,0.00243628
06059110001,06059110001,0.99999207
06059110001,06059110015,0.00000793
06059110003,06059110003,1.00000000
06059110004,06059110004,1.00000000
06059110005,06059110005,1.00000000
06059110006,06059110006,0.99942759
06059110006,06059110014,0.00057241
06059110007,06059110007,1.00000000
06059110008,06059110008,1.00000000
06059110010,06059110010,1.00000000
06059110011,06059110011,1.00000000
06059110012,06059110012,0.99958390
06059110012,06059110015,0.00041610
06059110014,06059110014,1.00000000
06059110015,06059110001,0.04260830
06059110015,06059110012,0.01588939
06059110015,06059110015,0.94150231
06059110102,06059110102,0.98954364
06059110102,06059110111,0.01045636
06059110104,06059110104,1.00000000
06059110106,06059110106,0.99628911
06059110106,06059110108,0.00236120
06059110106,06059110113,0.00134969
06059110108,06059110108,1.00000000
06059110109,06059110109,1.00000000
06059110110,06059110110,1.00000000
06059110111,06059110111,1.00000000
06059110113,06059110113,1.00000000
06059110114,06059110114,1.00000000
06059110115,06059110115,0.99539461
06059110115,06059110301,0.00460539
06059110116,06059110116,0.99352825
06059110116,06059110301,0.00634257
06059110116,06059110304,0.00012918
06059110117,06059110117,1.00000000
06059110118,06059110118,1.00000000
06059110201,06059110201,1.00000000
06059110202,06059110202,1.00000000
