GEOID,B08141_E001,B08141_E002,B08141_E003,B08141_E004,B08141_E005,B08141_E016,B08141_E017,B08141_E018,B08141_E019,B08141_E020,B08141_M001,B08141_M002,B08141_M003,B08141_M004,B08141_M005,B08141_M016,B08141_M017,B08141_M018,B08141_M019,B08141_M020
06059075604,3540,64,102,1302,2072,0,0,0,0,0,335,79,76,294,396,17,17,17,17,17
06059075605,3042,0,187,1340,1515,0,0,0,0,0,293,17,99,291,375,17,17,17,17,17
06059075606,2869,0,142,1053,1674,16,0,8,8,0,403,17,81,248,426,22,17,14,15,17
06059075607,3661,104,685,1783,1089,52,17,0,35,0,440,71,178,337,410,48,28,17,37,17
06059075701,4035,28,280,1630,2097,223,0,26,120,77,625,49,145,461,629,150,17,42,87,120
06059075702,1900,8,108,463,1321,4,0,0,0,4,174,13,98,150,198,9,12,12,12,9
06059075703,2032,31,30,898,1073,0,0,0,0,0,224,35,35,196,236,12,12,12,12,12
06059075805,2126,50,217,1064,795,18,0,0,18,0,267,53,108,274,173,21,12,12,21,12
06059075806,3033,0,441,987,1605,10,0,10,0,0,510,17,251,222,495,16,17,16,17,17
06059075807,2369,0,132,632,1605,51,0,0,0,51,272,12,74,181,330,53,12,12,12,53
06059075808,1580,19,73,542,946,19,0,0,0,19,205,28,43,153,207,21,12,12,12,21
06059075809,1199,0,30,364,805,11,0,0,0,11,162,12,26,124,171,17,12,12,12,17
06059075810,1285,13,32,580,660,17,0,0,17,0,157,19,31,145,171,26,12,12,26,12
06059075811,1551,15,125,440,971,56,10,17,18,11,191,18,70,114,233,34,11,21,20,17
06059075812,2998,0,454,1302,1242,51,0,24,27,0,266,17,183,241,367,48,17,36,31,17
06059075813,2581,33,242,821,1485,42,0,30,12,0,247,57,88,157,299,48,17,45,18,17
06059075814,1484,25,154,566,739,0,0,0,0,0,181,41,71,139,159,12,12,12,12,12
06059075815,2513,21,267,1007,1218,63,0,9,54,0,241,36,114,245,328,61,17,15,59,17
06059075816,1841,21,236,1096,488,61,21,9,31,0,220,32,82,236,199,59,32,13,43,12
