GEOID20,C000,CNS15,CNS16,CNS17,CNS18
060590018011008,14,0,0,0,0
060590018011009,6,0,6,0,0
060590018011010,20,0,2,0,0
060590018011012,5,0,0,0,0
060590018011013,3,0,1,0,0
060590018011014,162,0,6,0,0
060590018011015,17,0,0,0,0
060590018011017,1,0,1,0,0
060590018011018,16,0,0,0,0
060590018012001,2,0,2,0,0
060590018012002,4,0,2,0,0
060590018012003,1,1,0,0,0
060590018012005,1,0,1,0,0
060590018012008,3,0,3,0,0
060590018013000,13,9,4,0,0
060590018013002,3,0,0,0,0
060590018013004,3,0,3,0,0
060590018013005,7,0,0,0,0
060590018014001,161,141,1,0,0
060590018014002,115,0,1,0,0
060590018014004,2,0,2,0,0
060590018014005,50,0,0,0,33
060590018021000,8,0,5,0,0
060590018021001,1,0,1,0,0
060590018021002,6,0,6,0,0
060590018021004,3,0,1,0,0
060590018021005,6,0,2,0,0
060590018021006,68,68,0,0,0
060590018022000,4,0,3,0,0
060590018022001,5,0,1,0,0
060590018022003,2,0,2,0,0
060590018022004,3,0,1,0,0
060590018022005,4,0,1,0,0
060590018022006,4,0,0,0,0
060590018022008,4,0,0,0,0
060590018022012,1,0,1,0,0
060590018023000,55,2,2,0,42
060590018023001,3,0,0,0,0
060590018023002,2,0,2,0,0
060590018023004,3,0,0,0,0
060590018023006,87,0,13,0,27
060590018023007,3,0,0,0,0
060590018024000,15,0,5,0,10
060590018025000,107,0,31,0,37
060590018025001,1,0,1,0,0
060590019011000,267,0,0,0,0
060590019011001,3,0,3,0,0
060590019011002,42,0,28,0,0
060590019011003,18,0,18,0,0
060590019011006,3,0,0,0,0
060590019011009,176,0,25,0,42
060590019011010,8,0,0,0,0
060590019012000,7,0,7,0,0
060590019012001,12,0,4,0,0
060590019012002,6,0,0,0,0
060590019012004,1,0,1,0,0
060590019012005,2,0,2,0,0
060590019021000,843,841,1,0,0
060590019021001,11,0,11,0,0
060590019021003,2,0,2,0,0
060590019021004,45,0,40,0,0
060590019021007,5,0,2,0,0
060590019021009,1,0,1,0,0
060590019021013,2,0,0,0,0
060590019022001,2,0,0,0,0
060590019022004,2,0,2,0,0
060590019022006,1,0,1,0,0
060590019022009,2,0,0,0,0
060590019022011,118,0,12,0,69
060590019022012,13,0,1,0,0
060590019022013,7,0,0,0,0
060590019022015,9,0,4,0,0
060590019031002,3,0,1,0,0
060590019031003,9,0,0,0,0
060590019031004,1,0,1,0,0
060590019031006,1,0,0,0,0
060590019031007,105,85,5,0,3
060590019031008,2,0,2,0,0
060590019031009,4,0,0,0,0
060590019031012,1,0,1,0,0
060590019031014,1,0,1,0,0
060590019031015,1,0,1,0,0
060590019032000,170,0,13,0,70
060590019032003,12,0,1,0,3
060590019032005,6,0,2,0,0
060590019032006,17,0,4,0,0
060590110001002,46,0,0,0,0
060590110001003,1279,0,0,0,0
060590110001004,245,0,8,4,31
060590110001005,50,0,5,0,0
060590110001007,34,0,13,0,0
060590110002000,4,0,1,0,0
060590110002001,23,0,1,0,0
060590110002002,4,0,3,0,0
060590110002003,1,0,0,0,0
060590110002004,12,0,0,0,2
060590110002005,4,0,0,0,0
060590110002008,24,14,10,0,0
060590110003000,45,3,10,0,0
060590110004000,2,0,0,0,0
060590110004001,3,0,1,0,0
060590110004003,50,0,32,0,0
060590110004004,5,0,0,0,0
060590110004007,3,0,3,0,0
060590110004008,6,0,0,0,0
060590110004009,1,0,0,0,0
060590110004010,2,0,2,0,0
060590110004012,12,0,0,0,5
060590110004013,143,0,9,0,64
060590110004014,28,0,0,0,13
060590110004015,11,0,0,0,0
060590110004016,284,25,9,0,0
060590110004017,33,8,0,0,0
060590110005000,14,0,0,0,0
060590110005002,15,0,0,0,0
060590110005003,553,0,5,0,105
060590110005004,77,72,0,0,0
060590110006000,16,0,0,0,0
060590110006001,2,0,2,0,0
060590110006003,11,0,0,0,0
060590110006004,6,0,3,0,0
060590110006009,210,0,0,0,0
060590110006011,31,0,0,0,26
060590110006013,4,0,1,0,0
060590111011000,24,0,4,0,11
060590111011002,2,0,2,0,0
060590111011006,85,82,3,0,0
060590111011007,1,0,1,0,0
060590111011008,3,0,3,0,0
060590111011009,4,0,0,0,0
060590111011010,42,1,2,0,0
060590111011011,2,0,0,0,0
060590111011013,50,0,3,0,46
060590111011015,2,0,1,0,0
060590111011018,74,0,14,0,5
060590111012000,124,0,4,0,7
060590111012001,4,0,4,0,0
060590111012002,24,0,0,0,0
060590111012003,1,0,0,0,1
060590111012004,1,0,1,0,0
060590111012008,5,0,4,0,0
060590111012010,3,0,1,0,0
060590111012015,1,0,1,0,0
060590111012016,1,0,0,0,0
060590111021000,1,0,1,0,0
060590111021003,2,0,0,0,0
060590111021005,4,0,1,3,0
060590111021007,2,0,0,0,0
060590111021010,7,0,0,0,0
060590111022000,18,0,1,0,9
060590111022001,63,0,44,0,0
060590111022002,3,0,3,0,0
060590111022003,11,0,11,0,0
060590111022005,48,0,3,0,0
060590111022006,7,0,0,0,0
060590111022007,1,0,0,0,0
060590111022008,126,0,33,0,14
060590111022009,2,0,2,0,0
060590111023000,25,25,0,0,0
060590111023005,235,0,21,0,15
