GEOID,lat,lon,aland_sqmi
06059062635,33.6011414,-117.7384305,0.419
06059062636,33.5832391,-117.7170667,0.455
06059062637,33.576522,-117.7237995,0.621
06059062638,33.5792026,-117.7338983,0.505
06059062639,33.5601443,-117.7293403,0.674
06059062640,33.5648039,-117.7222301,0.569
06059062641,33.6018744,-117.7261697,0.846
06059062642,33.6046208,-117.8634236,0.788
06059062643,33.5950576,-117.8291306,7.266
06059062645,33.6150925,-117.839299,2.164
06059062646,33.6069475,-117.7160991,0.496
06059062647,33.6044734,-117.7076522,0.669
06059062648,33.6109722,-117.737898,0.633
06059062649,33.5997255,-117.7565534,1.308
06059062650,33.6627696,-117.8194404,0.636
06059062651,33.6611788,-117.8047827,0.332
06059062652,33.6198996,-117.7457069,1.261
06059062653,33.6364763,-117.7465014,2.721
06059062654,33.6473598,-117.7718736,1.112
06059062655,33.6241133,-117.7925755,7.202
06059062656,33.5737494,-117.7918476,11.9
06059062657,33.6331904,-117.855413,0.538
06059062658,33.6175251,-117.8565189,1.114
06059062701,33.6048432,-117.8809155,0.464
06059062702,33.5927639,-117.8701726,0.575
06059062800,33.6053278,-117.9157274,0.7
06059062900,33.6122378,-117.915989,0.178
06059063004,33.6335765,-117.8840997,1.494
06059063005,33.6130439,-117.8955202,0.209
06059063006,33.605086,-117.8923185,0.208
06059063007,33.6333298,-117.868556,1.697
06059063008,33.6149296,-117.8780261,0.97
06059063009,33.6532836,-117.8787414,0.723
06059063010,33.6281163,-117.8983938,1.052
06059063101,33.6644113,-117.8830875,0.731
06059063102,33.6580897,-117.8936526,0.585
06059063103,33.6441646,-117.8996392,0.375
06059063201,33.650871,-117.9035762,0.393
06059063202,33.6418498,-117.908706,0.383
06059063301,33.6368927,-117.9169861,0.357
06059063302,33.6313438,-117.9133067,0.522
06059063400,33.6209027,-117.9165233,0.886
06059063500,33.6171634,-117.9357308,0.626
06059063601,33.6469767,-117.9429797,0.704
06059063603,33.6315655,-117.9427058,1.448
06059063604,33.6383279,-117.937407,0.464
06059063605,33.6377144,-117.9273493,0.4
06059063701,33.6484332,-117.9275356,0.302
06059063702,33.6469108,-117.9184745,0.507
06059063802,33.6763992,-117.9275165,0.474
