GEOID,B25044_E001,B25044_E003,B25044_E010,B25044_M001,B25044_M003,B25044_M010
06059089107,1248,16,9,74,19,14
06059099202,2043,11,60,52,16,39
06059099203,1503,24,39,59,23,43
06059099204,1421,8,56,39,12,39
06059099212,1710,10,41,71,16,34
06059099214,1373,73,11,76,47,18
06059099215,1882,35,28,83,28,33
06059099216,1481,18,14,55,21,19
06059099217,880,0,0,30,12,12
06059099220,2291,20,14,172,31,23
06059099222,1644,30,50,70,21,38
06059099223,1746,25,157,65,22,84
06059099224,1060,10,27,40,13,26
06059099225,1037,14,0,26,17,12
06059099226,1131,8,0,31,12,12
06059099227,1885,33,76,83,24,68
06059099229,2419,14,106,97,24,80
06059099230,1485,15,40,50,17,45
06059099231,1763,32,0,43,27,17
06059099232,1870,27,19,70,27,24
06059099233,1054,21,48,39,23,33
06059099234,1188,31,37,62,31,27
06059099235,2043,46,99,71,60,70
06059099237,1254,19,0,40,22,12
06059099238,1399,10,0,33,15,12
06059099239,1361,9,0,52,14,12
06059099240,2061,19,19,135,31,31
06059099241,1685,19,69,42,21,55
06059099242,1171,0,0,27,12,12
06059099243,1768,40,10,86,61,17
06059099244,1784,63,44,76,39,31
06059099245,1110,8,0,23,15,12
06059099246,1217,22,27,56,23,27
06059099247,756,26,24,52,18,14
06059099248,1425,39,31,55,27,28
06059099249,859,15,41,20,12,26
06059099250,1052,8,20,61,12,33
06059099251,2073,0,102,105,17,85
06059099305,3026,0,12,109,17,20
06059099306,2629,12,52,146,21,63
06059099307,1240,19,18,94,21,20
06059099308,2133,0,0,119,17,17
06059099309,2235,17,132,79,27,84
06059099310,1955,15,94,163,23,69
06059099311,1621,8,15,113,13,18
06059099402,2128,21,129,92,26,85
06059099404,1695,9,22,89,14,24
06059099405,1625,26,0,90,22,12
06059099406,1734,0,67,37,12,61
06059099407,968,19,36,39,17,22
06059099408,1712,10,46,52,16,50
06059099410,1897,0,111,102,17,66
06059099411,2036,0,41,60,17,37
06059099412,1933,10,57,54,16,53
06059099413,3484,30,422,111,34,151
06059099415,1952,28,0,53,26,17
06059099416,2204,23,40,121,29,64
06059099417,2067,30,16,82,27,19
06059099502,140,0,8,36,12,8
06059099504,945,7,0,43,12,12
06059099506,504,0,21,53,12,22
06059099508,2006,62,29,113,51,32
06059099509,2233,322,11,167,118,17
06059099510,3292,455,16,126,145,25
06059099511,1720,16,44,94,17,45
06059099512,1477,0,49,84,12,41
06059099513,1152,7,14,84,11,16
06059099514,2183,56,41,157,52,46
06059099601,2001,19,114,80,22,63
06059099602,1084,0,26,47,12,40
06059099603,2342,64,14,39,59,25
06059099604,1232,16,0,22,19,12
06059099605,1437,75,20,55,57,23
06059099701,1771,35,99,60,33,46
06059099702,2541,46,296,116,43,140
06059099703,1964,33,5,90,29,10
06059099801,1608,6,41,63,10,29
06059099802,1802,26,326,70,30,84
06059099803,1774,24,194,73,21,65
06059099902,1232,39,8,76,42,11
06059099903,1529,14,76,61,21,38
06059099904,1925,15,174,76,17,81
06059099905,1305,19,19,101,15,21
06059099906,1597,16,7,93,18,11
06059110001,1507,23,8,54,23,14
06059110003,1149,22,52,26,24,41
06059110004,1667,18,0,57,18,17
06059110005,1101,8,0,57,13,12
06059110006,1144,22,8,29,31,12
06059110007,1711,21,0,49,24,12
06059110008,1696,42,8,74,33,14
06059110010,1423,6,0,52,10,12
06059110011,1050,36,0,70,28,12
06059110012,1847,42,92,60,26,35
06059110014,1829,0,107,117,17,67
06059110015,1135,36,0,78,23,12
06059110102,1819,42,20,69,42,23
06059110104,1839,11,90,73,17,49
06059110106,1196,5,12,64,9,14
06059110108,1056,23,15,58,29,18
06059110109,1804,10,31,61,15,30
06059110110,1835,15,19,45,17,31
06059110111,1918,15,47,84,17,51
06059110113,713,0,27,29,12,24
06059110114,1522,9,8,43,13,14
06059110115,1126,27,9,61,37,17
06059110116,1423,37,77,83,24,38
06059110117,2083,45,15,86,44,23
06059110118,754,5,0,33,8,12
06059110201,2505,0,207,105,17,84
06059110202,2185,15,131,130,24,74
06059110203,1661,28,37,59,23,39
06059110301,2087,39,22,107,47,38
06059110302,1561,0,0,57,17,17
06059110303,1411,43,8,71,46,12
06059110304,1318,27,0,44,26,12
06059110401,1351,0,0,74,17,17
06059110402,1348,24,80,49,22,49
06059110500,2392,0,199,106,17,79
06059110603,2352,39,51,140,33,50
06059110604,2514,22,64,101,26,89
06059110605,2183,12,19,86,19,30
06059110606,1173,0,80,67,12,50
06059110607,1344,8,19,52,13,22
06059980000,0,0,0,12,12,12
06059990100,0,0,0,12,12,12
