GEOID20,INTPTLAT20,INTPTLON20,ALAND20,pop2020
060590014032001,+33.9372488,-117.9163279,33055,77
060590014032002,+33.9376022,-117.9186153,28570,75
060590014032003,+33.9386193,-117.9196830,36209,128
060590014032004,+33.9368689,-117.9208657,69749,243
060590014032005,+33.9387682,-117.9228544,21730,73
060590014032006,+33.9380551,-117.9228651,21597,72
060590014032007,+33.9373413,-117.9228853,21141,79
060590014032008,+33.9366270,-117.9228865,21383,66
060590014032009,+33.9343318,-117.9212478,29265,81
060590014032010,+33.9345913,-117.9191552,17187,55
060590014032011,+33.9353502,-117.9178573,29987,99
060590014032012,+33.9365553,-117.9177606,37503,104
060590014032013,+33.9347503,-117.9228313,19384,56
060590014032014,+33.9351529,-117.9239163,19378,75
060590014032015,+33.9358557,-117.9228776,10089,48
060590014032016,+33.9326042,-117.9220879,26852,89
060590014032017,+33.9329629,-117.9205791,26508,36
060590014032018,+33.9337199,-117.9191587,13466,53
060590014032019,+33.9332606,-117.9170737,74158,146
060590014032020,+33.9349498,-117.9160676,13902,29
060590014032021,+33.9328386,-117.9189308,12766,30
060590014032022,+33.9322400,-117.9195700,12437,55
060590014032023,+33.9330755,-117.9234855,35948,78
060590014041000,+33.9314155,-117.9258657,25692,92
060590014041001,+33.9310935,-117.9266001,21762,107
060590014041002,+33.9300959,-117.9281598,21424,84
060590014041003,+33.9273030,-117.9271011,283980,196
060590014041004,+33.9291312,-117.9294659,43493,238
060590014041005,+33.9294319,-117.9310595,43204,201
060590014041006,+33.9294267,-117.9319468,33348,163
060590014041007,+33.9292772,-117.9302407,41170,206
060590014041008,+33.9302613,-117.9325751,31209,85
060590014041009,+33.9245155,-117.9265969,8710,0
060590014041010,+33.9245140,-117.9224950,7492,24
060590014041011,+33.9245228,-117.9197449,3662,0
060590014041012,+33.9245307,-117.9172267,5617,0
060590014041013,+33.9234979,-117.9172668,64473,0
060590014041014,+33.9208024,-117.9197143,454193,23
060590014041015,+33.9192927,-117.9232452,75729,0
060590014041016,+33.9241200,-117.9222502,18150,34
060590014041017,+33.9235164,-117.9266927,80629,0
060590014041018,+33.9210914,-117.9309115,306849,0
060590014041019,+33.9256863,-117.9313901,81133,0
060590014041020,+33.9214878,-117.9276695,124510,0
060590014041021,+33.9304735,-117.9265779,21797,115
060590014041022,+33.9174892,-117.9301247,11634,0
060590014041023,+33.9174989,-117.9258754,6677,0
060590014041024,+33.9192945,-117.9258566,105718,0
060590014041025,+33.9174909,-117.9232507,4505,0
060590014041026,+33.9174845,-117.9217902,1522,0
060590014041027,+33.9174651,-117.9186431,10888,0
060590014042000,+33.9347795,-117.9343711,59053,463
060590014042001,+33.9347786,-117.9361206,18961,96
060590014042002,+33.9347782,-117.9369793,19340,103
060590014042003,+33.9332483,-117.9368407,10327,78
060590014042004,+33.9332515,-117.9357500,9408,74
060590014042005,+33.9329402,-117.9339456,29893,40
060590014042006,+33.9323381,-117.9346638,10972,50
060590014042007,+33.9323380,-117.9357481,10099,77
060590014042008,+33.9323346,-117.9368361,10984,49
060590014043000,+33.9304730,-117.9344355,77653,345
060590014043001,+33.9304441,-117.9363208,32000,170
060590014043002,+33.9304372,-117.9381929,77358,135
060590014043003,+33.9313373,-117.9406373,24038,95
060590014043004,+33.9303405,-117.9406399,21823,134
060590014043005,+33.9286544,-117.9373635,92296,190
060590014043006,+33.9294407,-117.9400714,9649,96
060590014043007,+33.9264160,-117.9354979,164215,7
060590014043008,+33.9211729,-117.9351417,303822,0
060590014043009,+33.9174465,-117.9346580,5275,0
060590015011000,+33.9304167,-117.9160787,24689,65
060590015011001,+33.9264318,-117.9178083,241150,753
060590015011002,+33.9298606,-117.9239883,12425,60
060590015011003,+33.9296856,-117.9223256,4652,31
060590015011004,+33.9300674,-117.9228926,30602,150
060590015011005,+33.9286132,-117.9172753,56862,120
060590015011006,+33.9306400,-117.9189103,9138,89
060590015011007,+33.9311424,-117.9189294,6023,28
060590015011008,+33.9279850,-117.9158877,6549,30
060590015011009,+33.9285353,-117.9220795,3631,48
060590015011010,+33.9308919,-117.9168652,16456,62
060590015011011,+33.9290877,-117.9223069,4906,39
060590015011012,+33.9276784,-117.9194154,5722,22
060590015011013,+33.9287493,-117.9190103,27896,67
060590015011014,+33.9264963,-117.9190107,24754,92
060590015011015,+33.9260719,-117.9224105,102988,103
060590015011016,+33.9266275,-117.9210835,9109,32
060590015011017,+33.9260764,-117.9210685,9063,37
060590015011018,+33.9274596,-117.9220583,40056,119
060590015011019,+33.9285319,-117.9234710,11612,88
060590015012000,+33.9347047,-117.9040442,153328,239
060590015012001,+33.9338012,-117.9057870,3151,24
060590015012002,+33.9371589,-117.9057570,8656,69
