GEOID,B08141_E001,B08141_E002,B08141_E003,B08141_E004,B08141_E005,B08141_E016,B08141_E017,B08141_E018,B08141_E019,B08141_E020,B08141_M001,B08141_M002,B08141_M003,B08141_M004,B08141_M005,B08141_M016,B08141_M017,B08141_M018,B08141_M019,B08141_M020
06059076206,2811,29,344,1018,1420,0,0,0,0,0,537,47,152,459,445,19,19,19,19,19
06059076208,3065,0,205,1404,1456,11,0,0,11,0,444,19,86,433,272,16,19,19,16,19
06059086301,3546,72,416,927,2131,62,11,0,38,13,437,85,175,254,365,46,19,19,38,20
06059086303,7054,0,1498,3808,1748,95,0,21,74,0,1086,21,588,905,693,96,21,36,85,21
06059086304,2211,72,293,1117,729,50,21,20,0,9,365,75,113,238,307,50,32,33,14,15
06059086305,2520,0,61,513,1946,0,0,0,0,0,805,14,50,286,811,14,14,14,14,14
06059086306,1938,17,212,733,976,0,0,0,0,0,309,29,107,261,270,14,14,14,14,14
06059086402,2882,0,154,900,1828,19,0,11,8,0,788,19,74,542,640,20,19,14,14,19
06059086404,3265,13,388,756,2108,0,0,0,0,0,653,15,207,336,664,19,19,19,19,19
06059086405,2954,54,433,807,1660,45,8,0,0,37,404,69,146,278,411,46,13,19,19,43
06059086406,2167,31,323,889,924,17,0,0,17,0,331,39,173,271,253,20,14,14,20,14
06059086407,3426,114,460,1426,1426,17,0,0,17,0,526,133,250,451,496,31,19,19,31,19
06059086501,1800,0,296,728,776,21,0,0,0,21,404,14,182,277,329,31,14,14,14,31
06059086502,3312,215,395,1257,1445,89,0,61,14,14,479,305,172,419,515,65,19,56,22,24
06059086601,4139,121,842,1439,1737,302,83,88,107,24,522,146,316,464,552,205,140,74,127,27
06059086602,2680,20,450,842,1368,9,0,0,9,0,409,29,162,275,380,14,19,19,14,19
06059086701,3901,23,211,1380,2287,151,0,0,69,82,592,42,115,379,633,108,19,19,80,68
06059086702,3628,41,541,1234,1812,60,0,35,9,16,676,54,243,350,640,53,19,46,15,22
06059086801,1648,14,134,579,921,51,0,0,17,34,248,26,76,172,270,57,14,14,25,47
06059086802,2847,80,319,483,1965,0,0,0,0,0,484,68,117,178,528,19,19,19,19,19
06059086803,3741,12,551,2071,1107,59,0,0,59,0,566,19,218,544,317,74,19,19,74,19
06059086901,3334,199,594,1727,814,49,18,0,0,31,398,110,239,417,317,63,29,19,19,56
06059086902,2492,18,334,529,1611,61,8,35,7,11,672,22,176,213,665,40,13,36,14,19
06059086903,3067,151,731,958,1227,113,0,79,0,34,286,130,231,254,321,82,19,78,19,35
06059087001,2375,95,377,891,1012,27,0,0,0,27,360,79,160,279,335,35,19,19,19,35
06059087002,3226,63,525,1051,1587,68,0,0,53,15,478,56,278,417,434,86,19,19,88,39
06059087101,2466,65,838,647,916,0,0,0,0,0,372,91,224,246,324,14,14,14,14,14
06059087102,2913,110,413,1455,935,47,20,0,0,27,332,84,182,277,346,46,22,19,19,34
06059087103,4358,0,430,1494,2434,0,0,0,0,0,707,19,245,372,621,19,19,19,19,19
06059087105,2907,38,753,1062,1054,55,12,43,0,0,531,48,455,400,278,61,18,58,19,19
06059087106,2139,70,410,673,986,175,52,31,17,75,450,64,233,260,403,100,56,53,26,66
06059087200,3684,183,858,1222,1421,94,66,0,0,28,778,193,501,561,467,96,92,19,19,42
06059087301,2192,79,704,554,855,10,0,0,0,10,309,121,224,338,358,16,14,14,14,16
06059087302,3363,75,749,1262,1277,237,0,45,152,40,681,89,256,543,539,165,19,70,121,64
06059087401,3411,131,344,1330,1606,33,13,0,0,20,537,151,121,321,512,34,16,19,19,31
06059087403,1182,8,293,418,463,49,0,9,40,0,221,13,131,143,175,37,14,16,35,14
06059087404,2010,33,315,657,1005,103,0,27,28,48,458,29,107,197,429,53,14,24,30,40
06059087405,2416,100,626,868,822,116,33,83,0,0,334,81,285,281,308,99,38,94,14,14
06059087503,3196,54,714,1156,1272,76,0,59,0,17,599,86,201,537,365,82,19,77,19,29
06059087504,3245,155,843,961,1286,101,51,0,16,34,621,112,477,322,439,77,45,19,22,49
06059087505,1926,115,465,542,804,36,36,0,0,0,412,163,195,202,340,57,57,14,14,14
06059087601,2413,81,263,981,1088,44,44,0,0,0,392,98,207,420,340,60,60,14,14,14
06059087602,3541,21,495,717,2308,61,0,0,0,61,1016,42,203,267,979,72,19,19,19,72
06059087701,2243,131,114,765,1233,41,0,0,41,0,390,109,71,308,372,45,19,19,45,19
06059087703,2987,35,145,610,2197,66,0,13,0,53,471,61,99,207,528,68,19,22,19,66
06059087704,2242,31,188,506,1517,11,0,11,0,0,491,40,111,197,487,18,19,18,19,19
06059087801,2254,94,274,883,1003,44,0,0,9,35,314,73,110,208,268,42,14,14,15,39
06059087802,3861,51,1029,1029,1752,42,0,0,16,26,636,67,390,337,513,41,19,19,25,33
06059087803,2927,34,412,597,1884,100,0,0,38,62,453,38,174,198,486,69,19,19,43,59
06059087805,3070,349,452,752,1517,80,51,0,0,29,293,212,138,241,353,70,57,19,19,42
06059087806,2463,148,506,609,1200,69,69,0,0,0,396,99,187,211,376,74,74,19,19,19
06059087901,1648,88,163,685,712,45,27,18,0,0,324,70,87,287,243,50,44,27,14,14
06059087902,2059,51,164,673,1171,28,28,0,0,0,414,47,105,354,289,36,36,14,14,14
06059088001,1987,49,145,430,1363,28,0,28,0,0,293,68,68,172,313,51,14,51,14,14
06059088002,1912,52,129,438,1293,0,0,0,0,0,468,53,115,230,426,14,14,14,14,14
06059088101,1087,13,100,423,551,9,0,0,9,0,152,21,48,104,133,13,14,14,13,14
06059088104,2138,80,392,988,678,23,23,0,0,0,340,94,184,277,204,37,37,14,14,14
06059088105,2140,94,70,622,1354,11,0,0,0,11,375,105,56,292,344,18,14,14,14,18
06059088106,2982,26,574,1463,919,11,0,0,11,0,394,39,200,361,295,18,19,19,18,19
06059088107,2618,125,211,812,1470,59,0,0,50,9,351,90,126,239,404,75,19,19,76,13
06059088201,1820,5,255,376,1184,24,0,24,0,0,248,16,134,141,278,42,14,42,14,14
06059088202,1913,11,161,471,1270,0,0,0,0,0,442,16,77,133,465,14,14,14,14,14
06059088203,2055,98,434,662,861,74,29,0,10,35,286,84,180,208,264,74,46,14,15,54
06059088301,2599,53,138,764,1644,11,0,11,0,0,327,43,77,230,323,17,19,17,19,19
06059088302,3190,59,549,926,1656,43,0,0,19,24,416,75,313,235,298,43,19,19,20,37
06059088401,2511,0,214,502,1795,0,0,0,0,0,414,19,136,150,443,19,19,19,19,19
06059088402,2112,64,293,676,1079,59,13,0,8,38,312,70,166,222,299,45,21,14,13,35
06059088403,3494,203,225,1276,1790,89,32,23,34,0,484,133,99,298,426,63,32,36,45,19
06059088501,3731,130,304,1238,2059,25,0,0,0,25,525,87,151,306,529,39,19,19,19,39
06059088502,2322,64,332,937,989,38,0,34,0,4,249,59,155,208,248,54,19,53,19,10
